district_code,district_name,mandal_code,mandal_name
14_1,MAHABUBNAGAR,01,ADDAKAL
14_1,MAHABUBNAGAR,02,BALANGAR
14_1,MAHABUBNAGAR,03,BHOOTHPUR
14_1,MAHABUBNAGAR,04,CHINNA CHINTHA KUNTA
14_1,MAHABUBNAGAR,06,DEVARKADARA
14_1,MAHABUBNAGAR,08,GANDEED
14_1,MAHABUBNAGAR,09,HANWADA
14_1,MAHABUBNAGAR,10,JADCHERLA
14_1,MAHABUBNAGAR,11,KOILKONDA
14_1,MAHABUBNAGAR,27,KOUKUNTLA
14_1,MAHABUBNAGAR,16,MAHABUBANAGAR (URBAN)
14_1,MAHABUBNAGAR,17,MAHABUBNAGAR RURAL
14_1,MAHABUBNAGAR,20,MIDJIL
14_1,MAHABUBNAGAR,26,MOHAMMADABAD
14_1,MAHABUBNAGAR,21,MOOSAPET
14_1,MAHABUBNAGAR,24,NAWABPET
14_1,MAHABUBNAGAR,25,RAJAPUR
14_2,JOGULAMBA GADWAL,01,ALAMPUR
14_2,JOGULAMBA GADWAL,02,DHAROOR
14_2,JOGULAMBA GADWAL,03,GADWAL
14_2,JOGULAMBA GADWAL,04,GHATTU
14_2,JOGULAMBA GADWAL,05,IEEJA
14_2,JOGULAMBA GADWAL,06,ITIKYALA
14_2,JOGULAMBA GADWAL,07,KALOOR TIMMANADODDI
14_2,JOGULAMBA GADWAL,08,MALDAKAL
14_2,JOGULAMBA GADWAL,09,MANOPAD
14_2,JOGULAMBA GADWAL,10,RAJOLI
14_2,JOGULAMBA GADWAL,11,UNDAVELLY
14_2,JOGULAMBA GADWAL,12,WADDEPALLE
14_2,JOGULAMBA GADWAL,13,YERRAVALLI
14_3,NAGARKURNOOL,01,ACHAMPET
14_3,NAGARKURNOOL,02,AMRABAD
14_3,NAGARKURNOOL,03,BALMOOR
14_3,NAGARKURNOOL,04,BIJINAPALLY
14_3,NAGARKURNOOL,05,CHARAKONDA
14_3,NAGARKURNOOL,06,KALWAKURTHY
14_3,NAGARKURNOOL,07,KODAIR
14_3,NAGARKURNOOL,08,KOLLAPUR
14_3,NAGARKURNOOL,09,LINGAL
14_3,NAGARKURNOOL,10,NAGARKURNOOL
14_3,NAGARKURNOOL,11,PADARA
14_3,NAGARKURNOOL,12,PEDDAKOTHAPALLE
14_3,NAGARKURNOOL,13,PENTLAVELLI
14_3,NAGARKURNOOL,14,TADOOR
14_3,NAGARKURNOOL,15,TELKAPALLY
14_3,NAGARKURNOOL,16,THIMMAJILPET
14_3,NAGARKURNOOL,17,UPPUNUNTHALA
14_3,NAGARKURNOOL,18,URKONDA
14_3,NAGARKURNOOL,19,VANGOOR
14_3,NAGARKURNOOL,20,VELDANDA
14_4,WANAPARTHY,01,AMARCHINTHA
14_4,WANAPARTHY,02,ATMAKUR
14_4,WANAPARTHY,03,CHINNAMBAVI
14_4,WANAPARTHY,04,GHANPUR
14_4,WANAPARTHY,05,GOPALPET
14_4,WANAPARTHY,06,KOTHAKOTA
14_4,WANAPARTHY,07,MADANAPUR
14_4,WANAPARTHY,08,PANGAL
14_4,WANAPARTHY,09,PEBBAIR
14_4,WANAPARTHY,10,PEDDAMANDADI
14_4,WANAPARTHY,11,REVALLY
14_4,WANAPARTHY,12,SRIRANGAPUR
14_4,WANAPARTHY,13,WANAPARTHY
14_4,WANAPARTHY,14,WEEPANAGANDLA
14_4,WANAPARTHY,15,YEDULA
14_5,NARAYANPET,05,DAMARAGIDDA
14_5,NARAYANPET,07,DHANWADA
14_5,NARAYANPET,28,GUNDUMAL
14_5,NARAYANPET,12,KOSGI
14_5,NARAYANPET,29,KOTHAPLLE
14_5,NARAYANPET,13,KRISHNA
14_5,NARAYANPET,14,MADDUR
14_5,NARAYANPET,15,MAGANOOR
14_5,NARAYANPET,18,MAKTHAL
14_5,NARAYANPET,19,MARIKAL
14_5,NARAYANPET,22,NARAYANPET
14_5,NARAYANPET,23,NARWA
14_5,NARAYANPET,26,UTKOOR
15_1,RANGAREDDY,01,ABDULLAPURMET
15_1,RANGAREDDY,02,AMANGAL
15_1,RANGAREDDY,03,BALAPUR
15_1,RANGAREDDY,04,CHEVELLA
15_1,RANGAREDDY,05,CHOWDERGUDEM
15_1,RANGAREDDY,06,FAROOQNAGAR
15_1,RANGAREDDY,07,GANDIPET
15_1,RANGAREDDY,08,HAYATHNAGAR
15_1,RANGAREDDY,09,IBRAHIMPATNAM
15_1,RANGAREDDY,10,KADTHAL
15_1,RANGAREDDY,11,KANDUKUR
15_1,RANGAREDDY,12,KESHAMPETA
15_1,RANGAREDDY,13,KONDURG
15_1,RANGAREDDY,14,KOTHUR
15_1,RANGAREDDY,15,MADGUL
15_1,RANGAREDDY,16,MAHESHWARAM
15_1,RANGAREDDY,17,MANCHAL
15_1,RANGAREDDY,18,MOINABAD
15_1,RANGAREDDY,19,NANDIGAMA
15_1,RANGAREDDY,20,RAJENDRANAGAR
15_1,RANGAREDDY,21,SAROORNAGAR
15_1,RANGAREDDY,22,SHABAD
15_1,RANGAREDDY,23,SHAMSHABAD
15_1,RANGAREDDY,24,SHANKARPALLE
15_1,RANGAREDDY,25,SRILINGAMPALLE
15_1,RANGAREDDY,26,TALAKONDAPALLY
15_1,RANGAREDDY,27,YACHARAM
15_2,MEDCHAL-MALKAJGIRI,01,ALWAL
15_2,MEDCHAL-MALKAJGIRI,02,BACHUPALLY
15_2,MEDCHAL-MALKAJGIRI,03,BALANAGAR
15_2,MEDCHAL-MALKAJGIRI,04,DUNDIGAL GANDIMAISAMMA
15_2,MEDCHAL-MALKAJGIRI,05,GHATKESAR
15_2,MEDCHAL-MALKAJGIRI,06,KAPRA
15_2,MEDCHAL-MALKAJGIRI,07,KEESARA
15_2,MEDCHAL-MALKAJGIRI,08,KUKATPALLY
15_2,MEDCHAL-MALKAJGIRI,09,MALKAJGIRI
15_2,MEDCHAL-MALKAJGIRI,10,MEDCHAL
15_2,MEDCHAL-MALKAJGIRI,11,MEDIPALLY
15_2,MEDCHAL-MALKAJGIRI,15,MOODUCHINTALAPALLE
15_2,MEDCHAL-MALKAJGIRI,12,QUTHBULLAPUR
15_2,MEDCHAL-MALKAJGIRI,13,SHAMIRPET
15_2,MEDCHAL-MALKAJGIRI,14,UPPAL
15_3,VIKARABAD,01,BANTWARAM
15_3,VIKARABAD,02,BASHEERABAD
15_3,VIKARABAD,03,BOMRASPET
15_3,VIKARABAD,19,CHOWDAPUR
15_3,VIKARABAD,04,DHARUR
15_3,VIKARABAD,05,DOMA
15_3,VIKARABAD,06,DOULATABAD
15_3,VIKARABAD,20,DUDYAL
15_3,VIKARABAD,07,KODANGAL
15_3,VIKARABAD,08,KOTEPALLY
15_3,VIKARABAD,09,KULKACHARLA
15_3,VIKARABAD,10,MARPALLE
15_3,VIKARABAD,11,MOMINPET
15_3,VIKARABAD,12,NAWABPET
15_3,VIKARABAD,13,PARGI
15_3,VIKARABAD,14,PEDDEMUL
15_3,VIKARABAD,15,PUDUR
15_3,VIKARABAD,16,TANDUR
15_3,VIKARABAD,17,VIKARABAD
15_3,VIKARABAD,18,YELAL
16_1,HYDERABAD,00,HYDERABAD
17_1,MEDAK,01,ALLADURG
17_1,MEDAK,02,CHEGUNTA
17_1,MEDAK,03,CHILIPCHED
17_1,MEDAK,04,HAVELI GHANPUR
17_1,MEDAK,05,KOWDIPALLE
17_1,MEDAK,06,KULCHARAM
17_1,MEDAK,07,MANOHARABAD
17_1,MEDAK,21,MASAIPET
17_1,MEDAK,08,MEDAK
17_1,MEDAK,09,NARSAPUR
17_1,MEDAK,10,NARSINGI
17_1,MEDAK,11,NIZAMPET
17_1,MEDAK,12,PAPANNAPET
17_1,MEDAK,13,RAMAYAMPET
17_1,MEDAK,14,REGODE
17_1,MEDAK,15,SHANKARAMPET(A)
17_1,MEDAK,16,SHANKARAMPET(R)
17_1,MEDAK,17,SHIVAMPET
17_1,MEDAK,18,TEKMAL
17_1,MEDAK,19,TOOPRAN
17_1,MEDAK,20,YELDURTHY
17_2,SANGAREDDY,01,AMEENPUR
17_2,SANGAREDDY,02,ANDOLE
17_2,SANGAREDDY,27,CHOWTAKUR
17_2,SANGAREDDY,03,GUMMADIDALA
17_2,SANGAREDDY,04,HATHNOOR
17_2,SANGAREDDY,05,JHARASANGAM
17_2,SANGAREDDY,06,JINNARAM
17_2,SANGAREDDY,07,KALHER
17_2,SANGAREDDY,08,KANDI
17_2,SANGAREDDY,09,KANGTI
17_2,SANGAREDDY,10,KOHIR
17_2,SANGAREDDY,11,KONDAPUR
17_2,SANGAREDDY,12,MANOOR
17_2,SANGAREDDY,13,MOGUDAMPALLY
17_2,SANGAREDDY,14,MUNIPALLY
17_2,SANGAREDDY,15,NAGALGIDDA
17_2,SANGAREDDY,16,NARAYANKHED
17_2,SANGAREDDY,28,NIZAMPET
17_2,SANGAREDDY,17,NYALKAL
17_2,SANGAREDDY,18,PATANCHERU
17_2,SANGAREDDY,19,PULKAL
17_2,SANGAREDDY,20,RAIKODE
17_2,SANGAREDDY,21,RAMACHANDRAPURAM
17_2,SANGAREDDY,22,SADASIVPET
17_2,SANGAREDDY,23,SANGAREDDY
17_2,SANGAREDDY,24,SIRGAPOOR
17_2,SANGAREDDY,25,VATPALLY
17_2,SANGAREDDY,26,ZAHIRABAD
17_3,SIDDIPET,24,AKBARPET-BHOOMPALLY
17_3,SIDDIPET,01,AKKANNAPET
17_3,SIDDIPET,02,BEJJANKI
17_3,SIDDIPET,03,CHERIAL
17_3,SIDDIPET,04,CHINNAKODUR
17_3,SIDDIPET,25,DHOOLMITTA
17_3,SIDDIPET,05,DOULTABAD
17_3,SIDDIPET,06,DUBBAK
17_3,SIDDIPET,07,GAJWEL
17_3,SIDDIPET,08,HUSNABAD
17_3,SIDDIPET,09,JAGDEVPUR
17_3,SIDDIPET,10,KOHEDA
17_3,SIDDIPET,11,KOMURAVELLI
17_3,SIDDIPET,12,KONDAPAK
17_3,SIDDIPET,29,KUKUNOORPALLY
17_3,SIDDIPET,13,MADDUR
17_3,SIDDIPET,14,MARKOOK
17_3,SIDDIPET,15,MIRDODDI
17_3,SIDDIPET,16,MULUGU
17_3,SIDDIPET,17,NANGANOOR
17_3,SIDDIPET,23,NARAYANRAOPET
17_3,SIDDIPET,18,RAIPOLE
17_3,SIDDIPET,19,SIDDIPET (URBAN)
17_3,SIDDIPET,20,SIDDIPET RURAL
17_3,SIDDIPET,21,THOGUTA
17_3,SIDDIPET,22,WARGAL
18_1,NIZAMABAD,31,ALOOR
18_1,NIZAMABAD,01,ARMOOR
18_1,NIZAMABAD,02,BALKONDA
18_1,NIZAMABAD,03,BHEEMGAL
18_1,NIZAMABAD,04,BODHAN
18_1,NIZAMABAD,29,CHANDUR
18_1,NIZAMABAD,05,DHARPALLY
18_1,NIZAMABAD,06,DICHPALLY
18_1,NIZAMABAD,32,DONKESHWAR
18_1,NIZAMABAD,07,INDALWAI
18_1,NIZAMABAD,08,JAKRANPALLE
18_1,NIZAMABAD,09,KAMMARPALLY
18_1,NIZAMABAD,10,KOTAGIRI
18_1,NIZAMABAD,11,MAKLOOR
18_1,NIZAMABAD,12,MENDORA
18_1,NIZAMABAD,13,MORTHAD
18_1,NIZAMABAD,28,MOSRA
18_1,NIZAMABAD,14,MUGPAL
18_1,NIZAMABAD,15,MUPKAL
18_1,NIZAMABAD,16,NANDIPET
18_1,NIZAMABAD,17,NAVIPET
18_1,NIZAMABAD,18,NIZAMABAD NORTH
18_1,NIZAMABAD,19,NIZAMABAD RURAL
18_1,NIZAMABAD,20,NIZAMABAD SOUTH
