district_code,district_name,mandal_code,mandal_name,village_code,village_name,sro_code,sro_name
14_1,MAHABUBNAGAR,01,ADDAKAL,1426021,ADDAKAL,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1437004,BALEEDUPALLE,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1437002,CHINNAMUNGALACHEDU,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1426016,GUDIBANDA,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1426018,KANDUR,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1437003,KANMANOOR,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1426020,KATAVARAM,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1427027,MUTHYALAMPALLE,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1437001,PEDDAMUNGALACHEDU,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1426014,PONNAKAL,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1426015,RACHALA,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1426017,SHAKHAPUR,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1426019,THIMMAIPALLE,,
14_1,MAHABUBNAGAR,01,ADDAKAL,1427028,VARNE,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410022,APPAJIPALLE,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410005,BALANAGAR,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410023,BODAJANAMPETA,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410036,CHINNA REVALLI,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410018,GOUTHAPUR,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410007,GUNDED,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410019,HEMAJIPUR,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410014,KETHIREDDIPALLE,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410020,LINGARAM,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410002,MACHARAM,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410035,MADAMPALLE,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410004,MOTHIGHANAPUR,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410006,NANDARAM,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410008,NERELLAPALLE,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410021,PEDDARIVALLE,,
14_1,MAHABUBNAGAR,02,BALANGAR,1410015,PEDDAYAPALLE,,
